Delta,Estimate,Shift,Coherence
-18.5,-12,-6,0.25
-23.5,-5,-6,0.25
-18.5,0,-6,0.25
-22.5,-7,-6,0.25
-24.5,-5,-6,0.25
-18.5,-4,-6,0.25
-1.5,-10,-6,0.25
-23.5,-3,-6,0.25
-15.5,-4,-6,0.25
-16.5,-12,-6,0.25
-2.5,-3,-6,0.25
-24.5,-6,-6,0.25
-10.5,-2,-6,0.25
-14.5,-5,-6,0.25
-19.5,-2,-6,0.25
-24.5,-11,-6,0.25
-18.5,-1,-6,0.25
-23.5,-7,-6,0.25
-3.5,-3,-6,0.25
-21.5,-8,-6,0.25
-15.5,-4,-6,0.25
-16.5,-4,-6,0.25
-20.5,-1,-6,0.25
-11.5,-1,-6,0.25
-9.5,-1,-6,0.25
-20.5,-5,-6,0.25
-14.5,-1,-6,0.25
-15.5,-1,-6,0.25
-20.5,-1,-6,0.25
-24.5,-25,-6,0.25
-21.5,-9,-6,0.25
-18.5,-12,-6,0.25
-23.5,-11,-6,0.25
-8.5,-6,-6,0.25
-20.5,-6,-6,0.25
-16.5,-6,-6,0.25
-3.5,-2,-6,0.25
-16.5,0,-6,0.25
-5.5,-5,-6,0.25
-4.5,-4,-6,0.25
-24.5,-4,-6,0.25
-18.5,0,-6,0.25
-16.5,-4,-6,0.25
-23.5,-13,-6,0.25
-11.5,-2,-6,0.25
-17.5,-5,-6,0.25
-15.5,-3,-6,0.25
-23.5,-4,-6,0.25
-24.5,-9,-6,0.25
-24.5,-7,-6,0.25
-23.5,-7,-6,0.25
-18.5,-6,-6,0.25
-14.5,-4,-6,0.25
-23.5,-4,-6,0.25
-14.5,-2,-6,0.25
-22.5,-5,-6,0.25
-15.5,-5,-6,0.25
-17.5,-3,-6,0.25
-22.5,-4,-6,0.25
-17.5,-3,-6,0.25
-17.5,0,-6,0.25
-24.5,-7,-6,0.25
18.5,23,-6,0.25
10.5,10,-6,0.25
4.5,3,-6,0.25
6.5,8,-6,0.25
2.5,6,-6,0.25
16.5,14,-6,0.25
8.5,3,-6,0.25
23.5,18,-6,0.25
1.5,18,-6,0.25
11.5,0,-6,0.25
6.5,1,-6,0.25
22.5,12,-6,0.25
11.5,13,-6,0.25
10.5,12,-6,0.25
20.5,7,-6,0.25
4.5,8,-6,0.25
0.5,6,-6,0.25
15.5,19,-6,0.25
12.5,14,-6,0.25
10.5,11,-6,0.25
15.5,12,-6,0.25
5.5,16,-6,0.25
23.5,12,-6,0.25
1.5,15,-6,0.25
21.5,18,-6,0.25
10.5,13,-6,0.25
4.5,7,-6,0.25
14.5,16,-6,0.25
17.5,12,-6,0.25
13.5,22,-6,0.25
18.5,17,-6,0.25
7.5,15,-6,0.25
20.5,16,-6,0.25
13.5,13,-6,0.25
15.5,12,-6,0.25
17.5,9,-6,0.25
11.5,14,-6,0.25
20.5,12,-6,0.25
7.5,19,-6,0.25
22.5,10,-6,0.25
16.5,14,-6,0.25
20.5,14,-6,0.25
18.5,16,-6,0.25
3.5,5,-6,0.25
0.5,9,-6,0.25
17.5,7,-6,0.25
24.5,14,-6,0.25
10.5,2,-6,0.25
11.5,14,-6,0.25
16.5,9,-6,0.25
24.5,18,-6,0.25
11.5,14,-6,0.25
8.5,9,-6,0.25
2.5,2,-6,0.25
15.5,10,-6,0.25
13.5,15,-6,0.25
20.5,9,-6,0.25
7.5,10,-6,0.25
9.5,14,-6,0.25
3.5,9,-6,0.25
14.5,12,-6,0.25
18.5,12,-6,0.25
10.5,8,-6,0.25
14.5,15,-6,0.25
1.5,12,-6,0.25
15.5,9,-6,0.25
4.5,13,-6,0.25
5.5,15,-6,0.25
12.5,13,-6,0.25
22.5,14,-6,0.25
17.5,10,-6,0.25
23.5,15,-6,0.25
19.5,10,-6,0.25
24.5,25,-6,0.25
10.5,14,-6,0.25
23.5,28,-6,0.25
13.5,14,-6,0.25
16.5,12,-6,0.25
23.5,14,-6,0.25
10.5,11,-6,0.25
7.5,12,-6,0.25
21.5,16,-6,0.25
8.5,11,-6,0.25
4.5,7,-6,0.25
9.5,10,-6,0.25
10.5,11,-6,0.25
21.5,16,-6,0.25
15.5,8,-6,0.25
20.5,12,-6,0.25
8.5,11,-6,0.25
22.5,9,-6,0.25
24.5,17,-6,0.25
8.5,12,-6,0.25
-14.5,-7,0,0.25
-9.5,-11,0,0.25
-4.5,-9,0,0.25
-19.5,-5,0,0.25
-5.5,-4,0,0.25
-19.5,-6,0,0.25
-10.5,-9,0,0.25
-0.5,-6,0,0.25
-22.5,-7,0,0.25
-1.5,-3,0,0.25
-24.5,-12,0,0.25
-20.5,-5,0,0.25
-8.5,-23,0,0.25
-24.5,-16,0,0.25
-9.5,-10,0,0.25
-21.5,-8,0,0.25
-9.5,-7,0,0.25
-8.5,-4,0,0.25
-3.5,-10,0,0.25
-3.5,-7,0,0.25
-19.5,-6,0,0.25
-1.5,-3,0,0.25
-4.5,-6,0,0.25
-9.5,-9,0,0.25
-10.5,-9,0,0.25
-15.5,-6,0,0.25
-20.5,-10,0,0.25
-14.5,-17,0,0.25
-19.5,-9,0,0.25
-4.5,-11,0,0.25
-24.5,-15,0,0.25
-19.5,-18,0,0.25
-1.5,-10,0,0.25
-9.5,-10,0,0.25
-12.5,-7,0,0.25
-10.5,-14,0,0.25
-9.5,-5,0,0.25
-17.5,-9,0,0.25
-5.5,-3,0,0.25
-10.5,-4,0,0.25
-19.5,-6,0,0.25
-22.5,-9,0,0.25
-6.5,0,0,0.25
-1.5,-5,0,0.25
-12.5,-4,0,0.25
-5.5,-6,0,0.25
-23.5,-4,0,0.25
-18.5,-4,0,0.25
-6.5,-8,0,0.25
-19.5,-11,0,0.25
-23.5,-9,0,0.25
-21.5,-6,0,0.25
-4.5,-6,0,0.25
-16.5,-7,0,0.25
-13.5,-7,0,0.25
-24.5,-10,0,0.25
-6.5,-7,0,0.25
-14.5,-17,0,0.25
-10.5,-8,0,0.25
-14.5,-9,0,0.25
-9.5,-11,0,0.25
-5.5,-4,0,0.25
-13.5,-15,0,0.25
-23.5,-20,0,0.25
-17.5,-1,0,0.25
-13.5,-14,0,0.25
-8.5,-2,0,0.25
-11.5,-14,0,0.25
-8.5,-7,0,0.25
-24.5,-15,0,0.25
-7.5,-6,0,0.25
-24.5,-20,0,0.25
-22.5,-11,0,0.25
-16.5,-6,0,0.25
-20.5,-5,0,0.25
-2.5,-5,0,0.25
-18.5,-11,0,0.25
-11.5,-7,0,0.25
-7.5,-4,0,0.25
-12.5,-7,0,0.25
-22.5,-7,0,0.25
-11.5,-8,0,0.25
-12.5,-5,0,0.25
17.5,8,0,0.25
23.5,17,0,0.25
17.5,7,0,0.25
1.5,5,0,0.25
19.5,13,0,0.25
23.5,21,0,0.25
3.5,3,0,0.25
4.5,8,0,0.25
1.5,3,0,0.25
20.5,12,0,0.25
15.5,10,0,0.25
17.5,10,0,0.25
18.5,10,0,0.25
9.5,5,0,0.25
0.5,1,0,0.25
12.5,9,0,0.25
24.5,7,0,0.25
10.5,9,0,0.25
7.5,7,0,0.25
7.5,5,0,0.25
24.5,12,0,0.25
17.5,6,0,0.25
0.5,2,0,0.25
1.5,13,0,0.25
6.5,7,0,0.25
21.5,8,0,0.25
4.5,10,0,0.25
19.5,15,0,0.25
0.5,9,0,0.25
8.5,9,0,0.25
0.5,3,0,0.25
1.5,6,0,0.25
6.5,6,0,0.25
14.5,9,0,0.25
16.5,5,0,0.25
5.5,5,0,0.25
4.5,11,0,0.25
20.5,5,0,0.25
13.5,8,0,0.25
23.5,5,0,0.25
14.5,8,0,0.25
9.5,8,0,0.25
15.5,9,0,0.25
22.5,11,0,0.25
16.5,8,0,0.25
18.5,6,0,0.25
8.5,6,0,0.25
22.5,7,0,0.25
17.5,7,0,0.25
22.5,5,0,0.25
4.5,8,0,0.25
22.5,4,0,0.25
19.5,9,0,0.25
18.5,4,0,0.25
23.5,13,0,0.25
15.5,5,0,0.25
10.5,3,0,0.25
16.5,10,0,0.25
3.5,4,0,0.25
3.5,4,0,0.25
15.5,11,0,0.25
20.5,14,0,0.25
23.5,10,0,0.25
6.5,7,0,0.25
7.5,2,0,0.25
3.5,5,0,0.25
2.5,4,0,0.25
17.5,9,0,0.25
9.5,5,0,0.25
14.5,9,0,0.25
13.5,4,0,0.25
14.5,4,0,0.25
12.5,6,0,0.25
1.5,9,0,0.25
18.5,7,0,0.25
24.5,13,0,0.25
16.5,5,0,0.25
10.5,3,0,0.25
19.5,17,0,0.25
4.5,4,0,0.25
10.5,6,0,0.25
19.5,8,0,0.25
6.5,9,0,0.25
15.5,11,0,0.25
23.5,10,0,0.25
17.5,1,0,0.25
2.5,3,0,0.25
5.5,9,0,0.25
16.5,5,0,0.25
16.5,13,0,0.25
11.5,1,0,0.25
20.5,6,0,0.25
16.5,7,0,0.25
14.5,8,0,0.25
-17.5,-8,6,0.25
-17.5,-8,6,0.25
-3.5,-10,6,0.25
-5.5,-17,6,0.25
-24.5,-18,6,0.25
-24.5,-17,6,0.25
-8.5,-24,6,0.25
-7.5,-10,6,0.25
-2.5,-1,6,0.25
-21.5,-15,6,0.25
-21.5,-10,6,0.25
-4.5,-13,6,0.25
-10.5,-15,6,0.25
-8.5,-9,6,0.25
-12.5,-12,6,0.25
-19.5,-13,6,0.25
-22.5,-16,6,0.25
-7.5,-15,6,0.25
-20.5,-12,6,0.25
-1.5,-2,6,0.25
-24.5,-16,6,0.25
-17.5,-23,6,0.25
-22.5,-24,6,0.25
-13.5,-13,6,0.25
-2.5,-11,6,0.25
-10.5,-24,6,0.25
-19.5,-15,6,0.25
-21.5,-21,6,0.25
-20.5,-20,6,0.25
-16.5,-27,6,0.25
-22.5,-17,6,0.25
-24.5,-25,6,0.25
-5.5,-11,6,0.25
-13.5,-20,6,0.25
-12.5,-13,6,0.25
-20.5,-17,6,0.25
-1.5,-16,6,0.25
-3.5,-12,6,0.25
-22.5,-18,6,0.25
-24.5,-16,6,0.25
-0.5,-15,6,0.25
-12.5,-14,6,0.25
-11.5,-17,6,0.25
-19.5,-12,6,0.25
-22.5,-13,6,0.25
-24.5,-12,6,0.25
-17.5,-11,6,0.25
-12.5,-18,6,0.25
-4.5,-7,6,0.25
-20.5,-20,6,0.25
-0.5,-5,6,0.25
-2.5,-2,6,0.25
-24.5,-16,6,0.25
-8.5,-4,6,0.25
-12.5,-19,6,0.25
-10.5,-12,6,0.25
-13.5,-11,6,0.25
-21.5,-16,6,0.25
-8.5,-5,6,0.25
-9.5,-10,6,0.25
-13.5,-12,6,0.25
-0.5,-3,6,0.25
-1.5,-9,6,0.25
-10.5,-9,6,0.25
-20.5,-17,6,0.25
-0.5,-2,6,0.25
-12.5,-10,6,0.25
-10.5,-16,6,0.25
-1.5,-10,6,0.25
-16.5,-10,6,0.25
-7.5,-12,6,0.25
-3.5,-10,6,0.25
-11.5,-19,6,0.25
-11.5,-20,6,0.25
-5.5,-9,6,0.25
-15.5,-12,6,0.25
-5.5,0,6,0.25
-21.5,-9,6,0.25
-13.5,-13,6,0.25
-20.5,-17,6,0.25
-14.5,-12,6,0.25
-11.5,-2,6,0.25
-2.5,-11,6,0.25
-11.5,-13,6,0.25
-9.5,-14,6,0.25
-19.5,-11,6,0.25
-18.5,-11,6,0.25
-13.5,-12,6,0.25
-1.5,-12,6,0.25
-11.5,-6,6,0.25
-16.5,-15,6,0.25
-4.5,-14,6,0.25
-7.5,-10,6,0.25
-19.5,-14,6,0.25
-0.5,-7,6,0.25
-17.5,-17,6,0.25
-21.5,-14,6,0.25
-15.5,-9,6,0.25
-7.5,-15,6,0.25
-18.5,-10,6,0.25
-12.5,-15,6,0.25
-9.5,-11,6,0.25
-12.5,-20,6,0.25
-0.5,-3,6,0.25
-7.5,-13,6,0.25
-23.5,-13,6,0.25
-3.5,-10,6,0.25
-5.5,-18,6,0.25
15.5,5,6,0.25
7.5,3,6,0.25
22.5,11,6,0.25
15.5,3,6,0.25
3.5,1,6,0.25
19.5,3,6,0.25
12.5,10,6,0.25
4.5,1,6,0.25
4.5,0,6,0.25
1.5,3,6,0.25
8.5,4,6,0.25
24.5,2,6,0.25
15.5,11,6,0.25
18.5,1,6,0.25
23.5,7,6,0.25
8.5,1,6,0.25
24.5,3,6,0.25
15.5,4,6,0.25
11.5,1,6,0.25
13.5,1,6,0.25
21.5,3,6,0.25
5.5,7,6,0.25
21.5,6,6,0.25
11.5,0,6,0.25
22.5,8,6,0.25
20.5,12,6,0.25
15.5,3,6,0.25
21.5,2,6,0.25
18.5,8,6,0.25
8.5,3,6,0.25
21.5,10,6,0.25
11.5,0,6,0.25
11.5,1,6,0.25
22.5,2,6,0.25
24.5,4,6,0.25
9.5,0,6,0.25
2.5,1,6,0.25
13.5,19,6,0.25
22.5,8,6,0.25
17.5,6,6,0.25
13.5,0,6,0.25
8.5,9,6,0.25
22.5,2,6,0.25
9.5,7,6,0.25
15.5,5,6,0.25
22.5,7,6,0.25
17.5,4,6,0.25
13.5,5,6,0.25
2.5,0,6,0.25
6.5,3,6,0.25
24.5,1,6,0.25
14.5,1,6,0.25
24.5,4,6,0.25
10.5,7,6,0.25
9.5,5,6,0.25
18.5,5,6,0.25
24.5,0,6,0.25
3.5,5,6,0.25
